app,scen,case,time
CM1,A,C1,319
CM1,A,C1,334
CM1,A,C1,314
CM1,A,C2,144
CM1,A,C2,148
CM1,A,C2,150
CM1,A,C3,109
CM1,A,C3,128
CM1,A,C3,128
CM1,B,C1,216
CM1,B,C1,216
CM1,B,C1,216
CM1,B,C2,199
CM1,B,C2,200
CM1,B,C2,199
CM1,B,C3,152
CM1,B,C3,153
CM1,B,C3,152
CM1,C,C1,276
CM1,C,C1,276
CM1,C,C1,276
CM1,C,C2,259
CM1,C,C2,258
CM1,C,C2,260
CM1,C,C3,180
CM1,C,C3,181
CM1,C,C3,181
CM1,D,C1,346
CM1,D,C1,345
CM1,D,C1,346
CM1,D,C2,329
CM1,D,C2,328
CM1,D,C2,330
CM1,D,C3,212
CM1,D,C3,212
CM1,D,C3,211
